date,symbol,close,entry_high_20,cash,n_positions,positions_detail,risk_budget_used_pct,signal_filter_state,rejection_point,detail
2014-02-07,510500.SH,3.237,3.2081,83740.16,1,,0.0,no_state,executed,shares=11200
2014-02-07,159915.SZ,1.498,1.48,60967.15,2,510500.SH:11200,0.99,no_state,executed,shares=15200
2014-02-10,518880.SH,2.501,2.487,1346.68,2,"510500.SH:22400,159915.SZ:30400",3.85,no_state,zero_shares,现金不足: 1347 < 65036
2014-02-11,518880.SH,2.515,2.501,1346.68,2,"510500.SH:22400,159915.SZ:30400",3.87,"last_win=None,consec_rej=0",zero_shares,现金不足: 1347 < 65400
2014-02-14,518880.SH,2.552,2.524,1346.68,2,"510500.SH:22400,159915.SZ:30400",3.85,"last_win=None,consec_rej=0",zero_shares,现金不足: 1347 < 68404
2014-02-17,518880.SH,2.596,2.553,1346.68,2,"510500.SH:22400,159915.SZ:30400",3.77,"last_win=None,consec_rej=0",zero_shares,现金不足: 1347 < 67246
2014-02-19,513100.SH,0.2391,0.2387,1346.68,2,"510500.SH:22400,159915.SZ:30400",3.79,no_state,zero_shares,现金不足: 1347 < 62893
2014-02-21,513100.SH,0.2405,0.2393,1346.68,2,"510500.SH:22400,159915.SZ:30400",3.86,"last_win=None,consec_rej=0",zero_shares,现金不足: 1347 < 59629
2014-02-25,513100.SH,0.2429,0.2407,56976.88,1,,0.0,"last_win=None,consec_rej=0",executed,shares=248600
2014-02-25,518880.SH,2.612,2.6,56976.88,1,513100.SH:248600,1.02,"last_win=None,consec_rej=0",zero_shares,现金不足: 56977 < 65310
2014-02-26,518880.SH,2.651,2.618,56976.88,1,513100.SH:248600,1.01,"last_win=None,consec_rej=0",zero_shares,现金不足: 56977 < 64429
2014-03-17,518880.SH,2.722,2.71,62009.77,1,,0.0,"last_win=None,consec_rej=0",executed,shares=20000
2014-04-09,510500.SH,3.2809,3.275,114161.95,0,,0.0,"last_win=False,consec_rej=0",signal_filter,上次交易亏损出场（连续拒绝1次），跳过
2014-04-10,510500.SH,3.2956,3.2809,114161.95,0,,0.0,"last_win=False,consec_rej=1",signal_filter,上次交易亏损出场（连续拒绝2次），跳过
2014-05-13,513100.SH,0.2371,0.2363,114161.95,0,,0.0,"last_win=False,consec_rej=0",signal_filter,上次交易亏损出场（连续拒绝1次），跳过
2014-05-14,513100.SH,0.2379,0.2373,114161.95,0,,0.0,"last_win=False,consec_rej=1",signal_filter,上次交易亏损出场（连续拒绝2次），跳过
2014-05-22,513100.SH,0.2393,0.2383,114161.95,0,,0.0,"last_win=False,consec_rej=2",signal_filter,上次交易亏损出场（连续拒绝3次），跳过
2014-05-23,513100.SH,0.2403,0.2395,54150.04,1,,0.0,"last_win=False,consec_rej=3",executed,shares=249700
2014-05-28,510500.SH,3.1583,3.1377,54150.04,1,513100.SH:249700,0.99,"last_win=False,consec_rej=2",signal_filter,上次交易亏损出场（连续拒绝3次），跳过
2014-05-28,159915.SZ,1.314,1.297,54150.04,1,513100.SH:249700,0.99,"last_win=False,consec_rej=0",signal_filter,上次交易亏损出场（连续拒绝1次），跳过
2014-06-05,159915.SZ,1.325,1.321,54150.04,1,513100.SH:249700,0.99,"last_win=False,consec_rej=1",signal_filter,上次交易亏损出场（连续拒绝2次），跳过
2014-06-11,159915.SZ,1.337,1.335,54150.04,1,513100.SH:249700,0.98,"last_win=False,consec_rej=2",signal_filter,上次交易亏损出场（连续拒绝3次），跳过
2014-06-13,510500.SH,3.1875,3.1698,11749.93,2,513100.SH:249700,0.99,"last_win=False,consec_rej=3",executed,shares=13300
2014-06-13,159915.SZ,1.35,1.347,11749.93,2,"513100.SH:249700,510500.SH:13300",1.98,"last_win=False,consec_rej=3",zero_shares,现金不足: 11750 < 26464
2014-06-16,159915.SZ,1.363,1.359,11749.93,2,"513100.SH:249700,510500.SH:13300",1.98,"last_win=False,consec_rej=3",zero_shares,现金不足: 11750 < 27128
2014-06-20,518880.SH,2.627,2.601,52622.68,1,513100.SH:249700,1.0,"last_win=False,consec_rej=0",signal_filter,上次交易亏损出场（连续拒绝1次），跳过
2014-06-23,518880.SH,2.637,2.63,52622.68,1,513100.SH:249700,1.0,"last_win=False,consec_rej=1",signal_filter,上次交易亏损出场（连续拒绝2次），跳过
2014-06-30,510500.SH,3.2196,3.205,52622.68,1,513100.SH:249700,0.99,"last_win=False,consec_rej=0",signal_filter,上次交易亏损出场（连续拒绝1次），跳过
2014-06-30,159915.SZ,1.372,1.368,25041.34,2,513100.SH:249700,0.99,"last_win=False,consec_rej=3",executed,shares=20100
2014-07-01,510500.SH,3.243,3.2224,25041.34,2,"513100.SH:249700,159915.SZ:20100",1.97,"last_win=False,consec_rej=1",signal_filter,上次交易亏损出场（连续拒绝2次），跳过
2014-07-02,510500.SH,3.2663,3.243,25041.34,2,"513100.SH:249700,159915.SZ:20100",1.95,"last_win=False,consec_rej=2",signal_filter,上次交易亏损出场（连续拒绝3次），跳过
2014-07-03,510500.SH,3.2987,3.2663,25041.34,2,"513100.SH:249700,159915.SZ:20100",1.95,"last_win=False,consec_rej=3",zero_shares,现金不足: 25041 < 46519
2014-07-08,510500.SH,3.3189,3.3074,25041.34,2,"513100.SH:249700,159915.SZ:20100",1.94,"last_win=False,consec_rej=3",zero_shares,现金不足: 25041 < 48463
2014-07-11,518880.SH,2.669,2.66,51810.52,1,513100.SH:249700,0.99,"last_win=False,consec_rej=2",signal_filter,上次交易亏损出场（连续拒绝3次），跳过
2014-07-14,510500.SH,3.3569,3.3249,5142.61,2,513100.SH:249700,0.99,"last_win=False,consec_rej=3",executed,shares=13900
2014-07-24,513100.SH,0.2627,0.2615,69530.58,1,510500.SH:13900,0.99,"last_win=True,consec_rej=0",zero_shares,现金不足: 69531 < 69731
2014-08-11,159915.SZ,1.366,1.351,22576.29,1,510500.SH:27800,1.87,"last_win=False,consec_rej=0",signal_filter,上次交易亏损出场（连续拒绝1次），跳过
2014-08-18,159915.SZ,1.396,1.371,22576.29,1,510500.SH:27800,1.83,"last_win=False,consec_rej=1",signal_filter,上次交易亏损出场（连续拒绝2次），跳过
