symbol,entry_date,exit_date,holding_days,direction,entry_price,exit_price,pnl,was_win,units,n_atr,hurst_252,rsi_14,vol_ratio,breakout_amplitude_n,body_ratio,close_position,atr_percentile_252,sma60_slope_20d,sma20,season
159915.SZ,2014-02-07T00:00:00,2014-02-25T00:00:00,12,long,1.498,1.432,-1716.0,False,2,0.0384,,80.07,0.97,0.4688,0.94,0.96,,,1.3914,2014Q1
510500.SH,2014-02-07T00:00:00,2014-02-26T00:00:00,13,long,3.237,3.2548,669.28,True,4,0.0531,,58.38,0.11,0.5443,0.8994,1.0,,,3.0765,2014Q1
513100.SH,2014-02-19T00:00:00,2014-03-14T00:00:00,17,long,0.2391,0.2393,137.36,True,4,0.0024,,53.99,1.22,0.1667,0.9231,0.9231,,,0.2355,2014Q1
518880.SH,2014-02-10T00:00:00,2014-03-27T00:00:00,33,long,2.501,2.58,6414.8,True,4,0.0248,,76.79,1.41,0.5645,0.6875,1.0,,,2.4483,2014Q1
510500.SH,2014-04-09T00:00:00,2014-04-24T00:00:00,11,long,3.2809,3.1729,-1879.2,False,2,0.0557,,56.62,1.4,0.1059,1.0,1.0,,,3.2128,2014Q2
159915.SZ,2014-06-13T00:00:00,2014-07-14T00:00:00,21,long,1.35,1.338,-820.8,False,4,0.0286,,62.68,1.07,0.1049,0.6563,0.7188,,-3.5898,1.2848,2014Q2
518880.SH,2014-06-20T00:00:00,2014-07-16T00:00:00,18,long,2.627,2.591,-3355.2,False,4,0.0213,,67.21,0.56,1.2207,0.8,0.85,,-1.3282,2.546,2014Q2
513100.SH,2014-05-13T00:00:00,2014-07-18T00:00:00,47,long,0.2371,0.2579,15749.76,True,4,0.0025,,55.78,1.97,0.32,0.8571,0.8571,,-0.3143,0.2324,2014Q2
513100.SH,2014-07-24T00:00:00,2014-08-06T00:00:00,9,long,0.2627,0.2557,-1631.0,False,1,0.0022,,66.37,0.87,0.5455,0.7778,0.7778,,3.4473,0.2584,2014Q3
513100.SH,2014-08-26T00:00:00,2014-09-10T00:00:00,10,long,0.2695,0.2679,-1259.52,False,3,0.0019,,71.72,0.97,1.1579,1.0,1.0,,2.9558,0.2608,2014Q3
159915.SZ,2014-08-22T00:00:00,2014-10-17T00:00:00,34,long,1.429,1.47,3230.8,True,4,0.0255,,69.77,0.75,0.4314,0.5455,0.7273,,2.4421,1.3484,2014Q3
510500.SH,2014-06-30T00:00:00,2014-10-23T00:00:00,77,long,3.2196,3.9097,27327.96,True,4,0.0403,,60.71,0.97,0.3623,0.9198,0.9198,,-0.7318,3.1461,2014Q2
513100.SH,2014-11-19T00:00:00,2014-12-11T00:00:00,16,long,0.2769,0.2727,-3674.16,False,4,0.0023,,73.08,0.63,0.9565,1.0,1.0,,1.3206,0.2698,2014Q4
159915.SZ,2014-11-26T00:00:00,2014-12-23T00:00:00,19,long,1.51,1.461,-3626.0,False,4,0.0276,,61.24,0.76,0.2536,0.7143,0.7143,,2.4112,1.4617,2014Q4
518880.SH,2014-12-10T00:00:00,2014-12-25T00:00:00,11,long,2.463,2.376,-1270.2,False,1,0.0284,,65.04,2.86,1.8662,0.7826,0.7826,,-2.5757,2.3595,2014Q4
510500.SH,2014-11-03T00:00:00,2015-02-09T00:00:00,68,long,4.1321,4.518,12503.16,True,4,0.062,,64.95,1.51,0.0952,0.8255,0.9128,,6.3541,4.0457,2014Q4
518880.SH,2015-01-21T00:00:00,2015-02-09T00:00:00,13,long,2.62,2.504,-2099.6,False,1,0.0287,0.7108,80.9,0.32,0.6969,0.88,0.88,,0.2439,2.4511,2015Q1
518880.SH,2015-05-18T00:00:00,2015-06-01T00:00:00,10,long,2.452,2.385,-2231.1,False,1,0.0195,0.7214,64.75,0.5,1.1795,0.7179,0.7949,0.2765,-2.2713,2.396,2015Q2
513100.SH,2015-04-27T00:00:00,2015-06-09T00:00:00,30,long,0.2953,0.2897,-2670.08,False,2,0.0029,0.6995,67.27,0.98,1.0345,0.6364,0.6364,0.4615,1.4254,0.2861,2015Q2
159915.SZ,2015-01-27T00:00:00,2015-06-19T00:00:00,94,long,1.688,3.15,63158.4,True,4,0.0483,0.6902,67.02,0.87,0.0414,0.0426,0.7872,,1.5468,1.5532,2015Q1
510500.SH,2015-02-16T00:00:00,2015-06-23T00:00:00,81,long,4.8278,8.5063,80927.0,True,4,0.0942,0.6543,65.07,0.82,0.6805,0.9669,0.9669,0.7211,4.4826,4.6459,2015Q1
510500.SH,2015-08-17T00:00:00,2015-08-24T00:00:00,5,long,7.4836,5.8124,-3509.52,False,1,0.3802,0.7047,58.55,0.96,0.2649,0.9396,0.9932,0.5889,-1.9228,6.8787,2015Q3
518880.SH,2015-10-14T00:00:00,2015-10-30T00:00:00,12,long,2.397,2.351,-2824.4,False,2,0.0265,0.7148,64.34,0.74,0.7547,1.0,1.0,0.4613,-0.1489,2.3273,2015Q4
513100.SH,2015-10-20T00:00:00,2015-11-13T00:00:00,18,long,0.2989,0.3085,5560.32,True,4,0.0046,0.6906,58.88,0.24,0.2609,0.8333,0.8333,0.4107,0.3624,0.291,2015Q4
510500.SH,2015-10-19T00:00:00,2015-11-27T00:00:00,29,long,6.0574,6.3829,4296.6,True,4,0.242,0.7069,60.81,1.04,0.0694,0.1284,0.8081,0.3301,-8.018,5.4318,2015Q4
159915.SZ,2015-10-08T00:00:00,2015-11-27T00:00:00,36,long,2.08,2.496,10150.4,True,4,0.132,0.6836,54.99,0.94,0.5758,0.4412,0.8529,0.4633,-15.1069,1.8698,2015Q4
513100.SH,2015-11-23T00:00:00,2015-12-14T00:00:00,15,long,0.3173,0.3119,-3711.42,False,3,0.0038,0.6858,62.07,0.7,0.1053,0.625,0.625,0.2679,0.9004,0.3125,2015Q4
159915.SZ,2016-02-22T00:00:00,2016-02-25T00:00:00,3,long,2.142,1.896,-2583.0,False,1,0.0817,0.658,54.33,1.19,0.0857,0.2353,1.0,0.1674,-6.6895,2.0101,2016Q1
518880.SH,2016-01-07T00:00:00,2016-03-15T00:00:00,43,long,2.339,2.572,32620.0,True,4,0.0234,0.7141,72.8,5.52,0.8974,0.4769,0.4769,0.3469,-1.1622,2.2472,2016Q1
510500.SH,2016-04-05T00:00:00,2016-04-20T00:00:00,11,long,5.4651,5.241,-2151.36,False,2,0.1745,0.7159,60.86,0.98,0.0676,0.728,0.8466,0.1223,-8.3678,5.1363,2016Q2
513100.SH,2016-03-30T00:00:00,2016-04-27T00:00:00,19,long,0.3065,0.3043,-2075.92,False,4,0.0036,0.6803,61.0,0.09,0.3333,0.4444,0.4444,0.2037,-1.7249,0.3012,2016Q1
518880.SH,2016-04-21T00:00:00,2016-05-19T00:00:00,19,long,2.626,2.64,1831.2,True,4,0.0256,0.6826,61.6,1.67,0.5859,0.8378,0.8649,0.428,3.8305,2.5682,2016Q2
513100.SH,2016-05-30T00:00:00,2016-06-24T00:00:00,17,long,0.3135,0.3059,-7323.36,False,3,0.0026,0.671,68.39,2.67,0.8462,0.8667,0.8667,0.0364,1.0299,0.3026,2016Q2
518880.SH,2016-06-13T00:00:00,2016-07-20T00:00:00,27,long,2.724,2.858,15865.6,True,4,0.0278,0.6811,68.8,1.98,0.8993,0.8611,0.8611,0.5092,0.2968,2.6254,2016Q2
510500.SH,2016-07-05T00:00:00,2016-07-27T00:00:00,16,long,5.4936,5.4491,-1263.8,False,4,0.1156,0.6864,66.08,0.74,0.1817,0.5483,0.7933,0.0123,0.5082,5.2683,2016Q3
159915.SZ,2016-07-04T00:00:00,2016-07-27T00:00:00,17,long,2.153,2.061,-2815.2,False,2,0.0538,0.6758,62.88,0.99,0.0743,0.8333,0.8667,0.0188,0.5823,2.0682,2016Q3
513100.SH,2016-07-15T00:00:00,2016-09-12T00:00:00,41,long,0.3241,0.3321,7062.4,True,4,0.003,0.6817,75.82,0.53,0.4,0.8182,0.8182,0.125,0.6129,0.312,2016Q3
513100.SH,2016-09-23T00:00:00,2016-11-02T00:00:00,23,long,0.3545,0.3437,-2039.04,False,1,0.0043,0.7035,68.43,1.36,2.0,0.95,0.95,0.4348,3.1844,0.3406,2016Q3
518880.SH,2016-11-09T00:00:00,2016-11-11T00:00:00,2,long,2.865,2.769,-3081.6,False,1,0.0251,0.6829,65.82,5.13,1.2749,0.7524,0.7619,0.3356,-1.0884,2.7769,2016Q4
518880.SH,2017-01-17T00:00:00,2017-01-26T00:00:00,7,long,2.694,2.641,-2491.0,False,1,0.0167,0.6762,64.96,0.98,0.479,0.5294,0.7059,0.0177,-1.9181,2.6306,2017Q1
518880.SH,2017-02-24T00:00:00,2017-03-08T00:00:00,8,long,2.775,2.717,-5104.0,False,2,0.018,0.6906,69.83,0.95,1.7778,0.6667,0.7778,0.0636,-0.5901,2.7122,2017Q1
159915.SZ,2017-03-06T00:00:00,2017-03-23T00:00:00,13,long,1.883,1.865,-990.0,False,2,0.0234,0.6667,62.42,1.67,0.812,0.9459,0.973,0.0139,-4.0202,1.8348,2017Q1
513100.SH,2017-01-26T00:00:00,2017-03-24T00:00:00,36,long,0.3761,0.3909,13432.48,True,4,0.0034,0.667,70.22,1.2,1.7059,1.0,1.0,0.2391,1.8809,0.3662,2017Q1
510500.SH,2017-02-20T00:00:00,2017-03-30T00:00:00,28,long,5.6052,5.5993,-311.52,False,4,0.0593,0.64,58.98,0.56,0.1282,0.9352,0.9456,0.0316,-1.5101,5.4777,2017Q1
513100.SH,2017-04-26T00:00:00,2017-05-18T00:00:00,15,long,0.4038,0.4038,0.0,False,4,0.0042,0.6948,62.48,3.08,0.5714,0.6154,0.6923,0.5937,2.472,0.3943,2017Q2
518880.SH,2017-06-06T00:00:00,2017-06-12T00:00:00,4,long,2.822,2.77,-2251.6,False,1,0.0182,0.712,61.84,1.07,0.2198,0.7647,0.8824,0.09,0.3846,2.7706,2017Q2
513100.SH,2017-06-05T00:00:00,2017-06-15T00:00:00,8,long,0.4268,0.4086,-3263.26,False,1,0.0044,0.6975,68.52,0.79,0.3182,0.3571,0.0714,0.6562,2.2181,0.4141,2017Q2
510500.SH,2017-06-20T00:00:00,2017-07-17T00:00:00,19,long,5.3476,5.1857,-7123.6,False,4,0.0699,0.6626,58.69,0.9,0.1202,0.2891,0.3554,0.2186,-2.9707,5.1891,2017Q2
159915.SZ,2017-08-16T00:00:00,2017-09-21T00:00:00,26,long,1.735,1.78,4824.0,True,4,0.0279,0.6632,64.89,1.32,0.8961,0.7045,0.7727,0.3252,-1.6758,1.649,2017Q3
510500.SH,2017-08-21T00:00:00,2017-09-25T00:00:00,25,long,5.6605,5.7302,2955.28,True,4,0.0701,0.6612,63.39,0.64,0.3951,0.7731,0.9673,0.3655,1.7381,5.5416,2017Q3
159915.SZ,2017-10-13T00:00:00,2017-10-30T00:00:00,11,long,1.84,1.764,-2394.0,False,1,0.0241,0.6757,65.18,1.23,0.2075,0.8529,1.0,0.2437,1.1118,1.7902,2017Q4
