year,return_pct,mdd_pct,calmar,trades,win_rate,profit_factor,total_pnl,max_holding_days
2014,2.32,8.59,0.27,16,43.8,4.41,46801.04,77
2015,60.53,15.87,3.813,11,45.5,11.55,147046.6,94
2016,-4.36,9.23,-0.4723,12,33.3,4.92,34045.92,43
2017,-0.52,8.61,-0.0601,13,30.8,3.16,13879.58,42
2018,-4.46,8.04,-0.5553,12,41.7,1.33,-1644.52,34
2019,26.34,7.0,3.7621,14,50.0,12.14,252450.6,82
2020,18.5,12.98,1.4253,15,53.3,4.12,130354.31,68
2021,4.93,10.7,0.4612,18,50.0,1.22,12727.11,44
2022,1.63,6.7,0.2435,7,42.9,4.82,35170.96,47
2023,2.94,4.59,0.64,13,61.5,6.71,171709.0,93
2024,18.81,4.58,4.1068,13,61.5,13.55,362621.84,57
2025,17.92,6.31,2.8405,13,76.9,14.08,644500.86,83
2026,17.24,6.92,2.4891,4,75.0,28.64,78263.2,38
