run_id,mode,atr_period,breakout_period,stop_period,stop_atr_multiple,alpha,max_cumulative_loss_pct,max_consecutive_losses,total_return,cagr,sharpe,max_drawdown,win_rate,profit_factor,total_trades,annual_vol,calmar,final_value,date_range
3,B,15,15,8,1.5,0.05,0.15,8,32.6362,2.8651,0.2151,26.6663,28.95,3.4991,76,0.0,0.1074,132636.22,2014-01-01~2024-01-01
2,A,15,15,8,1.5,0.05,0.15,8,133.2785,8.841,0.4853,26.7599,37.5,2.9346,120,0.0,0.3304,233278.53,2014-01-01~2024-01-01
0,A,15,15,8,1.5,0.0,0.15,8,136.7436,9.0016,0.5053,23.3517,36.75,3.0129,117,0.0,0.3855,236743.6,2014-01-01~2024-01-01
1,B,15,15,8,1.5,0.0,0.15,8,31.1,2.7453,0.2041,27.3455,28.95,3.4336,76,0.0,0.1004,131100.01,2014-01-01~2024-01-01
4,A,15,15,8,1.5,0.1,0.15,8,132.8481,8.8209,0.4836,26.5931,36.97,2.9952,119,0.0,0.3317,232848.07,2014-01-01~2024-01-01
5,B,15,15,8,1.5,0.1,0.15,8,35.7658,3.1053,0.2327,26.5655,29.73,3.4781,74,0.0,0.1169,135765.79,2014-01-01~2024-01-01
6,A,15,15,8,1.5,0.15,0.15,8,119.0107,8.1561,0.4654,23.5357,37.29,2.8647,118,0.0,0.3465,219010.74,2014-01-01~2024-01-01
7,B,15,15,8,1.5,0.15,0.15,8,33.942,2.9659,0.2197,27.7427,29.73,3.3848,74,0.0,0.1069,133941.97,2014-01-01~2024-01-01
8,A,15,15,8,1.5,0.2,0.15,8,126.4009,8.5157,0.4745,23.5378,37.82,2.857,119,0.0,0.3618,226400.86,2014-01-01~2024-01-01
9,B,15,15,8,1.5,0.2,0.15,8,36.3121,3.1467,0.2308,27.6216,30.67,3.3176,75,0.0,0.1139,136312.11,2014-01-01~2024-01-01
10,A,15,15,8,2.0,0.0,0.15,8,136.7436,9.0016,0.5053,23.3517,36.75,3.0129,117,0.0,0.3855,236743.6,2014-01-01~2024-01-01
11,B,15,15,8,2.0,0.0,0.15,8,31.1,2.7453,0.2041,27.3455,28.95,3.4336,76,0.0,0.1004,131100.01,2014-01-01~2024-01-01
12,A,15,15,8,2.0,0.05,0.15,8,133.2785,8.841,0.4853,26.7599,37.5,2.9346,120,0.0,0.3304,233278.53,2014-01-01~2024-01-01
13,B,15,15,8,2.0,0.05,0.15,8,32.6362,2.8651,0.2151,26.6663,28.95,3.4991,76,0.0,0.1074,132636.22,2014-01-01~2024-01-01
14,A,15,15,8,2.0,0.1,0.15,8,132.8481,8.8209,0.4836,26.5931,36.97,2.9952,119,0.0,0.3317,232848.07,2014-01-01~2024-01-01
15,B,15,15,8,2.0,0.1,0.15,8,35.7658,3.1053,0.2327,26.5655,29.73,3.4781,74,0.0,0.1169,135765.79,2014-01-01~2024-01-01
16,A,15,15,8,2.0,0.15,0.15,8,119.0107,8.1561,0.4654,23.5357,37.29,2.8647,118,0.0,0.3465,219010.74,2014-01-01~2024-01-01
