year,return_pct,mdd_pct,calmar,trades,win_rate,profit_factor,total_pnl,max_holding_days
2014,2.28,8.56,0.2667,16,43.8,4.44,56408.78,77
2015,142.94,8.16,17.5177,9,44.4,30.22,567849.05,96
2016,-6.09,10.89,-0.559,10,40.0,4.51,71398.06,43
2017,2.85,5.84,0.4883,10,30.0,4.27,33931.52,42
2018,-0.5,6.55,-0.0756,9,55.6,1.05,13368.5,34
2019,28.24,6.95,4.0626,10,50.0,12.31,410319.8,82
2020,25.44,12.77,1.9919,11,54.5,3.96,237555.72,68
2021,5.52,11.12,0.4963,10,40.0,1.69,9976.14,44
2022,1.88,4.55,0.4131,2,50.0,6.71,44031.2,50
2023,2.32,4.14,0.5592,5,60.0,5.56,113705.8,34
2024,-1.82,4.0,-0.4547,5,60.0,12.45,255875.2,49
2025,22.49,8.01,2.8071,4,75.0,18.24,389941.0,36
2026,7.19,13.39,0.5371,1,100.0,,98400.0,38
