run_id,mode,atr_period,breakout_period,stop_period,stop_atr_multiple,alpha,max_cumulative_loss_pct,max_consecutive_losses,total_return,cagr,sharpe,max_drawdown,win_rate,profit_factor,total_trades,annual_vol,calmar,final_value,date_range,pyramid_step,atr_pct_threshold
3,A,15,15,10,1.5,0.05,0.15,5,7.3284,1.186,0.0768,32.8548,36.11,1.9231,72,11.4356,0.0361,107328.36,2014-01-01~2020-01-01,0.5,off
2,A,15,15,8,2.5,0.05,0.15,5,11.5861,1.8443,0.1359,24.5675,35.44,1.9075,79,11.0953,0.0751,111586.05,2014-01-01~2020-01-01,0.5,off
0,A,15,15,8,1.5,0.05,0.15,5,11.5861,1.8443,0.1359,24.5675,35.44,1.9075,79,11.0953,0.0751,111586.05,2014-01-01~2020-01-01,0.5,off
1,A,15,15,8,2.0,0.05,0.15,5,11.5861,1.8443,0.1359,24.5675,35.44,1.9075,79,11.0953,0.0751,111586.05,2014-01-01~2020-01-01,0.5,off
4,A,15,15,10,2.0,0.05,0.15,5,7.3284,1.186,0.0768,32.8548,36.11,1.9231,72,11.4356,0.0361,107328.36,2014-01-01~2020-01-01,0.5,off
5,A,15,15,10,2.5,0.05,0.15,5,7.3284,1.186,0.0768,32.8548,36.11,1.9231,72,11.4356,0.0361,107328.36,2014-01-01~2020-01-01,0.5,off
6,A,15,15,12,1.5,0.05,0.15,5,-2.5552,-0.4306,-0.0424,39.5408,35.71,1.562,70,13.2576,-0.0109,97444.76,2014-01-01~2020-01-01,0.5,off
7,A,15,15,12,2.0,0.05,0.15,5,-2.5552,-0.4306,-0.0424,39.5408,35.71,1.562,70,13.2576,-0.0109,97444.76,2014-01-01~2020-01-01,0.5,off
8,A,15,15,12,2.5,0.05,0.15,5,-2.5552,-0.4306,-0.0424,39.5408,35.71,1.562,70,13.2576,-0.0109,97444.76,2014-01-01~2020-01-01,0.5,off
9,A,15,20,8,1.5,0.05,0.15,5,63.199,8.5078,0.7873,12.2929,41.18,2.4847,68,10.0921,0.6921,163198.96,2014-01-01~2020-01-01,0.5,off
10,A,15,20,8,2.0,0.05,0.15,5,63.199,8.5078,0.7873,12.2929,41.18,2.4847,68,10.0921,0.6921,163198.96,2014-01-01~2020-01-01,0.5,off
11,A,15,20,8,2.5,0.05,0.15,5,63.199,8.5078,0.7873,12.2929,41.18,2.4847,68,10.0921,0.6921,163198.96,2014-01-01~2020-01-01,0.5,off
12,A,15,20,10,1.5,0.05,0.15,5,65.9292,8.8083,0.7819,12.1416,40.98,2.9482,61,10.5943,0.7255,165929.19,2014-01-01~2020-01-01,0.5,off
13,A,15,20,10,2.0,0.05,0.15,5,65.9292,8.8083,0.7819,12.1416,40.98,2.9482,61,10.5943,0.7255,165929.19,2014-01-01~2020-01-01,0.5,off
14,A,15,20,10,2.5,0.05,0.15,5,65.9292,8.8083,0.7819,12.1416,40.98,2.9482,61,10.5943,0.7255,165929.19,2014-01-01~2020-01-01,0.5,off
15,A,15,20,12,1.5,0.05,0.15,5,52.4645,7.284,0.6259,19.2475,36.21,2.6598,58,10.9718,0.3784,152464.53,2014-01-01~2020-01-01,0.5,off
16,A,15,20,12,2.0,0.05,0.15,5,52.4645,7.284,0.6259,19.2475,36.21,2.6598,58,10.9718,0.3784,152464.53,2014-01-01~2020-01-01,0.5,off
18,A,15,25,8,1.5,0.05,0.15,5,90.4196,11.3344,0.998,19.7714,44.44,2.6374,63,10.6836,0.5733,190419.56,2014-01-01~2020-01-01,0.5,off
17,A,15,20,12,2.5,0.05,0.15,5,52.4645,7.284,0.6259,19.2475,36.21,2.6598,58,10.9718,0.3784,152464.53,2014-01-01~2020-01-01,0.5,off
19,A,15,25,8,2.0,0.05,0.15,5,90.4196,11.3344,0.998,19.7714,44.44,2.6374,63,10.6836,0.5733,190419.56,2014-01-01~2020-01-01,0.5,off
20,A,15,25,8,2.5,0.05,0.15,5,90.4196,11.3344,0.998,19.7714,44.44,2.6374,63,10.6836,0.5733,190419.56,2014-01-01~2020-01-01,0.5,off
21,A,15,25,10,1.5,0.05,0.15,5,94.7845,11.7558,0.9667,21.6131,47.27,2.9548,55,11.5331,0.5439,194784.55,2014-01-01~2020-01-01,0.5,off
22,A,15,25,10,2.0,0.05,0.15,5,94.7845,11.7558,0.9667,21.6131,47.27,2.9548,55,11.5331,0.5439,194784.55,2014-01-01~2020-01-01,0.5,off
