date,equity
2014-01-02,600000.0
2014-01-03,600000.0
2014-01-06,600000.0
2014-01-07,600000.0
2014-01-08,600000.0
2014-01-09,600000.0
2014-01-10,600000.0
2014-01-13,600000.0
2014-01-14,600000.0
2014-01-15,600000.0
2014-01-16,600000.0
2014-01-17,600000.0
2014-01-20,600000.0
2014-01-21,600000.0
2014-01-22,600000.0
2014-01-23,600000.0
2014-01-24,600000.0
2014-01-27,600000.0
2014-01-28,600000.0
2014-01-29,600000.0
2014-01-30,600000.0
2014-02-07,600000.0
2014-02-10,600000.0
2014-02-11,600000.0
2014-02-12,600000.0
2014-02-13,597855.2698795826
2014-02-14,600922.0398795826
2014-02-17,604593.5959299826
2014-02-18,600740.2359299825
2014-02-19,601549.8559299826
2014-02-20,597655.3359299825
2014-02-21,598592.4959299825
2014-02-24,599996.9059299825
2014-02-25,601144.1514356546
2014-02-26,606194.6514356546
2014-02-27,599849.1514356546
2014-02-28,602309.6514356546
2014-03-03,606194.6514356546
2014-03-04,605158.6514356546
2014-03-05,602698.1514356546
2014-03-06,602568.6514356546
2014-03-07,605935.6514356546
2014-03-10,600885.1514356546
2014-03-11,604899.6514356546
2014-03-12,608396.1514356546
2014-03-13,611763.1514356546
2014-03-14,611504.1514356546
2014-03-17,615389.1514356546
2014-03-18,610727.1514356546
2014-03-19,609950.1514356546
2014-03-20,605676.6514356546
2014-03-21,605676.6514356546
2014-03-24,604770.1514356546
2014-03-25,602307.4232068546
2014-03-26,602307.4232068546
2014-03-27,602307.4232068546
2014-03-28,602307.4232068546
2014-03-31,602307.4232068546
2014-04-01,602307.4232068546
2014-04-02,602307.4232068546
2014-04-03,602307.4232068546
2014-04-04,602307.4232068546
2014-04-08,602307.4232068546
2014-04-09,602307.4232068546
2014-04-10,602307.4232068546
2014-04-11,602307.4232068546
2014-04-14,602307.4232068546
2014-04-15,602307.4232068546
2014-04-16,602307.4232068546
2014-04-17,602307.4232068546
2014-04-18,602307.4232068546
2014-04-21,602307.4232068546
2014-04-22,602307.4232068546
2014-04-23,602307.4232068546
2014-04-24,602307.4232068546
2014-04-25,602307.4232068546
2014-04-28,602307.4232068546
